,Unnamed: 0,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,price_level
5610,5610,"Rte des Daillettes 2b, 1700 Fribourg, Switzerland",producteurs,ChIJwdjeE9VojkcRhIQxbpYxNIU,0.0,0.0,46.7950514,7.1476429,,,
5611,5611,"Bd de Pérolles 21a, 1700 Fribourg, Switzerland",Denner Discount,ChIJV4CIg4tpjkcRvJHJduamhUM,0.0,0.0,46.7997868,7.1523113,True,,
5612,5612,"Bd de Pérolles 7b, 1700 Fribourg, Switzerland",Aldi,ChIJ4YMgdSxpjkcRr4T6GAgEIMo,4.0,528.0,46.8010973,7.151016299999999,True,,
5613,5613,"Av. de la Gare 22, 1700 Fribourg, Switzerland",Aldi,ChIJz79xmWJpjkcRaXyMmBA7n3s,4.2,107.0,46.8033829,7.1536227,True,,
5614,5614,"Rue de Romont Rez-de-chaussée, 30 1, 1700 Fribourg, Switzerland",Manor Food Fribourg,ChIJXxxBeKZpjkcRyOXrH5flLIE,4.2,21.0,46.8039722,7.154016700000001,True,,
5615,5615,"Bd de Pérolles 34, 1700 Fribourg, Switzerland",Super Marché Fresca Alima,ChIJqbk2dilpjkcRpMl-1WUe2kQ,4.2,271.0,46.7985272,7.153311,True,,
5616,5616,"Rte Sainte-Thérèse 2a, 1700 Fribourg, Switzerland",Supermarché Migros,ChIJn4mEtsxujkcRWJVonWqxvFY,4.1,379.0,46.8100858,7.1480117,True,,
5617,5617,"Bd de Pérolles 55, 1700 Fribourg, Switzerland",Denner,ChIJi1kLzSlpjkcRHuhdMGjKOpo,4.0,327.0,46.79663799999999,7.154647,True,,
5618,5618,"Rte de Cité-des-Jardins 13A, 1700 Fribourg, Switzerland",Migros - Schoenberg,ChIJjSJR4T1pjkcRw1KYYDtyq6k,4.1,199.0,46.80913959999999,7.171329699999999,True,,
5619,5619,"Rte du Château-d'Affry 6, 1762 Givisiez, Switzerland",Gashi International Food,ChIJN8uP5V9vjkcRn3DkQF2ctwg,4.0,60.0,46.81179969999999,7.134852299999999,True,,
